Date,A/C Type,Location,Fatalities,Registration,detail.url,Flight Phase,Circumstances,Flight Type,Site,Probable cause
"Oct 6, 2013",Britten-Norman Islander,"Culebra, All Puerto Rico",1,N909GD,http://www.baaa-acro.com/crash/crash-britten-bn-2a-8-norman-islander-culebra-1-killed,Landing (descent or approach),"Pilot was delivering newspapers from Vieques to Culebra-Benjamin Rivera Noriega Airport. While approaching Cayo Luis Peña Island, west of Culebra Island, twin engine aircraft crashed into the sea some 6,5 km west of the island. Pilot was killed and aircraft destroyed. ",Cargo,"Lake, Sea, Ocean, River",
"Oct 6, 2013",PZL-Mielec AN-2,"Sevryukovo, Bryansk oblast",0,RA-31505,http://www.baaa-acro.com/crash/crash-pzl-mielec-2r-sevryukovo,NA,"Illegal registration. Bought in 2000 and stored since. Repaired starting August 2013. Damaged beyond repair on the test flight when the engine failed in-flight. Aircraft made a forced landing in a field near Sevryukovo (Korocha district of the Belgorod region), nosed over and caught fire. The pilot and the sole passenger escaped unhurt. c/n unknown.",Test,Plain,"An investigation by the Interstate Aviation Committee revealed that the airplane carried a false registration and was flown without a certificate of airworthiness. Since the airplane was not officially registered, the IAC terminated their investigation."
"Oct 5, 2013",De Havilland Dash-8-200,"Acandí, Chocó",4,N356PH,http://www.baaa-acro.com/crash/crash-de-havilland-dash-8-202-acandi-4-killed,Flight,"The crew was engaged in an anti narcotic flight over Colombia when aircraft crashed in unknown circumstances in the region of Acandí, Province of Chocó. The four passengers were killed while both pilots were injured. Crew consisted of five US citizens and one Panamanian. Aircraft left Balboa AFB at Panama City in the evening. ",Survey / Patrol / Reconnaissance,Mountains,
"Oct 3, 2013",Embraer EMB-120 Brasília,"Lagos, Lagos",16,5N-BJY,http://www.baaa-acro.com/crash/crash-embraer-emb-120er-brasilia-lagos-16-killed,Takeoff (climb),"The crew discussed some concerns about the aircraft prior to departure but at this time we are not prepared to elaborate on those concerns as there remains a lot of work to complete on the CVR analysis in order to determine the specific nature of the crew’s concerns. Associated 361 was cleared for take-off on runway one eight left at Lagos international airport. The wind was calm and weather is not considered a factor in this accident. Approximately 4 seconds after engine power was advanced to commence the take-off roll, the crew received an automated warning from the onboard computer voice which consisted of three chimes followed by “Take-off Flaps…Take-off Flaps”. This is a configuration warning that suggests that the flaps were not in the correct position for take-off and there is some evidence that the crew may have chosen not to use flaps for the take-off. The warning did not appear to come as any surprise to the crew and they continued normally with the take-off. This warning continues throughout the take-off roll. As we are in the process of verifying the accuracy of the flight data, we have not yet been able to confirm the actual flap setting however we expect to determine this in the fullness of time. It was determined from the CVR that the pilot flying was the Captain and the pilot monitoring and assisting was the First Officer. The ‘set power‘ call was made by the Captain and the ‘power is set’ call was confirmed by the First Officer as expected in normal operations. Approximately 3 seconds after the ‘power is set’ call, the First Officer noted that the aircraft was moving slowly. Approximately 7 seconds after the ‘power is set’ call, the internal Aircraft Voice warning system could be heard stating ‘Take off Flaps, Auto Feather’. Auto feather refers to the pitch of the propeller blades. In the feather position, the propeller does not produce any thrust. The FDR contains several engine related parameters which the AIB is studying. At this time, we can state that the Right engine appears to be producing considerably less thrust than the Left engine. The left engine appeared to be working normally. The aircraft automated voice continued to repeat ‘Take-off Flaps, Auto Feather’. The physical examination of the wreckage revealed that the right engine propeller was in the feather position and the engine fire handle was pulled/activated. The standard ‘eighty knots’ call was made by the First Officer. The first evidence that the crew indicated that there was a problem with the take-off roll was immediately following the ‘eighty knots’ call. The First Officer asked if the take- off should be aborted approximately 12 seconds after the ‘eighty knots’ callout. Our investigation team estimates the airspeed to be approximately 95 knots. Airspeed was one of the parameters that, while working in the cockpit, appeared not to be working on the Flight Data Recorder. We were able to estimate the speed based on the radar data that we synchronized to the FDR and CVR but it is very approximate because of this. In response to the First Officer’s question to abort, the Captain indicated that they should continue and they continued the take-off roll. The crew did not make a ‘V1’ call or a Vr’ call. V1 is the speed at which a decision to abort or continue a take-off is made. Vr is the speed at which it is planned to rotate the aircraft. Normally the non-flying pilot calls both the V1 and the Vr speeds. When Vr is called the flying pilot pulls back on the control column and the aircraft is rotated (pitched up) to climb away from the runway. During the rotation, the First Officer stated ‘gently’, which we believe reflects concern that the aircraft is not performing normally and therefore needs to be rotated very gently so as not to aerodynamically stall the aircraft. The First Officer indicated that the aircraft was not climbing and advised the Captain who was flying not to stall the aircraft. Higher climb angles can cause an aerodynamic stall. If the aircraft is not producing enough overall thrust, it is difficult or impossible to climb without the risk of an aerodynamic stall. Immediately after lift-off, the aircraft slowly veered off the runway heading to the right and was not climbing properly. This aircraft behavior appears to have resulted in the Air Traffic Controller asking Flight 361 if operation was normal. Flight 361 never responded. Less than 10 seconds after rotation of the aircraft to climb away from the runway, the stall warning sounded in the cockpit and continued to the end of therecording. The flight data shows characteristics consistent with an aerodynamic stall. 31 seconds after the stall warning was heard, the aircraft impacted the ground in a nose down near 90 degree right bank.
The investigation is focusing on the following:
1) Mechanical and electronic engine control issues related to the Right engine and Right engine propeller systems. 
2) Aural warnings related to auto-feather and the flap settings required fortakeoff.
3) Take-off configuration issues with respect to flap settings.
4) Crew decision making and training with respect to proceeding with the flight despite concerns regarding the aircraft’s suitability for flight. 
5) When and how the number 2 engine fire handle was pulled.
6) Standard operating procedures with respect to continuing the take-off roll despite continuous automated voice warnings of both ‘take-off flaps’ and
‘auto feather’ when there was ample time to abort the take-off.
7) The airline management’s safety culture fostered throughout the airline. We are in the process of developing a comprehensive computer reconstruction of the flight which will help our team understand the sequence of events and will ultimately help us communicate our findings to the aviation community and the general public.",Charter (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),
"Sep 29, 2013",Cessna 525 CJ2,"Santa Monica, California",4,N194SJ,http://www.baaa-acro.com/crash/crash-cessna-525a-cj2-santa-monica-4-killed,Landing (descent or approach),"Aircraft veered off the right side of runway 21 and collided with a hangar at the Santa Monica Municipal Airport, Santa Monica, California. The private pilot and three passengers were fatally injured, and the airplane was destroyed by a post-crash fire. The airplane was registered to CREX-MML LLC, and operated by the pilot as a 14 Code of Federal Regulations, Part 91 flight. Visual meteorological conditions prevailed for the flight, which operated on an instrument flight rules flight plan. The flight originated at Hailey, Idaho, about 1614. Witnesses reported observing the airplane make a normal approach and landing. The airplane traveled down the right side of the runway, eventually veered off the runway, impacted the 1,000-foot runway distance remaining sign, continued to travel in a right-hand turn, and impacted a hangar structural post with the right wing. The airplane came to rest inside the hangar and the damage to the hangar structure caused the roof to collapse onto the airplane. A post-accident fire quickly ensued. On-scene examination of the wreckage and runway revealed that there was no airplane debris on the runway. The three landing gear tires were inflated and exhibited no unusual wear patterns. The Federal Aviation Administration (FAA) control tower local controller reported that the pilot did not express over the radio any problems prior to or during the landing.",Private,Airport (less than 10 km from airport),
"Sep 25, 2013",Cessna 208B Grand Caravan,"Hudson Bay, All Canada",1,C-FEXV,http://www.baaa-acro.com/crash/crash-cessna-208-hudson-bay-1-killed,Flight,"On behalf of Morningstar Air Express, pilot was engaged in a training flight. He left Sault Sainte Marie Airport, south Ontario, in the morning and flew to the north. Pilot did not have any radio contact with his base during the flight and single engine aircraft crashed into the Hudson Bay around 1400LT in unknown circumstances. Crash site was located 1,200 km north of Sault Saint Marie and some 500 km east of Churchill, Manitoba. Authorities will try to understand the reason why the pilot was flying so far from his base with a Cessna 208. ",Training,"Lake, Sea, Ocean, River",
"Sep 24, 2013",Cessna 421C Golden Eagle III,"Lyon-Bron, Rhône",4,N556MB,http://www.baaa-acro.com/crash/crash-cessna-421c-golden-eagle-iii-lyon-bron-4-killed,Takeoff (climb),"Shortly after take off from runway 34 in Lyon-Bron Airport, while in initial climb at a height of 200 feet, aircraft banked left, stalled and crashed in flames near the perimeter fence. All four occupants were killed and aircraft was destroyed by impact forces and post impact fire. Aircraft was outbound to Aix-les-Milles, Bouches-du-Rhône. According to french BEA, the left engine was not operating at the time of impact and first analysis shows that left engine power failed shortly after takeoff. ",Private,Airport (less than 10 km from airport),
"Sep 19, 2013",Beechcraft 90 King Air,"Idaho Falls, Idaho",0,N191TP,http://www.baaa-acro.com/crash/crash-beechcraft-king-air-c90a-idaho-falls,Landing (descent or approach),"Aircraft was substantially damaged when it impacted a field short of the runway at Idaho Falls Regional Airport (IDA), Idaho Falls, Idaho, during final approach. The commercial pilot and one passenger received minor injuries, and one passenger was seriously injured. The airplane was owned and operated by WE FLY LLC of Idaho Falls. The business flight was conducted under the provisions of Title 14 Code of Federal Regulations Part 91. Visual meteorological conditions prevailed, and no Federal Aviation Administration (FAA) flight plan was filed for the flight. According to the pilot, the airplane was based at IDA, and he and two passengers originated the day's flight sequence at IDA the morning of the accident. The airplane was flown first to Pocatello Regional Airport (PIH), located about 45 nautical miles (nm) from IDA, where a third passenger boarded. They then flew to Boise Air Terminal/Gowen Field (BOI), located about 165 nm from PIH, where the passengers deplaned to attend a meeting. About 5 hours after landing in BOI, the pilot and same passengers departed BOI for IDA, with an interim stop at PIH to drop off the one passenger. The flight from BOI to PIH was uneventful. The pilot and two remaining passengers reported that the flight from Pocatello to Idaho Falls was ""bumpy"" or ""turbulent."" The pilot reported that when the airplane was on its final approach to runway 2 at IDA, a ""master warning or caution"" annunciator light illuminated, and the pilot was ""pretty sure"" that it was related to a fuel quantity/distribution issue. He stated that he then checked the fuel quantity gauges, and recalled that they indicated that the airplane still had fuel. He did not provide any elaborating information to the investigation regarding the fuel quantity or distribution in the airplane at the time of the event. The pilot did not recall anything else about the event, except that he ""saw the ground coming up fast"" and instructed his passengers to ""hold on."" One of the passengers recounted a similar version of the sequence of events. The airplane impacted level terrain and an irrigation ditch about 1.2 miles short of the runway. The landing gear, one propeller, and one engine were separated from the airplane during impact, and the wings and fuselage sustained substantial damage. Only trace amounts of fuel were observed on scene. FAA information indicated that the airplane was manufactured in 1989, and was equipped with two Pratt & Whitney Canada PT6A turbopropeller engines.",Charter (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),
"Sep 18, 2013",PZL-Mielec AN-2,"Zelenoborsk, Khantia-Mansia okrug",0,RA-33017,http://www.baaa-acro.com/crash/crash-pzl-mielec-2r-near-zelenoborsk,Flight,"En route from Sovetsky to Nefteyugansk, while cruising at an altitude of 700 meters, the engine malfunctioned and the crew was forced to attempt an emergency landing. The aircraft came to rest in a swampy area located 38 km east of Zelenoborsk. Two crew and a passenger were injured while all four other occupants were unhurt. The aircraft was damaged beyond repair.",Scheduled Revenue Flight,Plain,The engine malfunction was caused by the unauthorized usage of a substandard fuel. 
"Sep 13, 2013",PZL-Mielec AN-2,"Kamako, Kasai-Occidental",0,9Q-CFT,http://www.baaa-acro.com/crash/crash-pzl-mielec-2r-kamako,Landing (descent or approach),"The approach to Kamako Airport was considered as normal. On short final, weather conditions deteriorated and the single engine airplane lost height and struck the ground 16 meters short of runway 12 threshold. It slid on its belly before coming to rest 37 meters past the threshold. All six occupants, one pilot and five passengers, were uninjured while the aircraft was damaged beyond repair. ",Scheduled Revenue Flight,Airport (less than 10 km from airport),"It was determined that the loss of control that occurred on short final was the result of the combination of a human error and weather component. The pilot was surprised by the abrupt change in weather conditions on short final to Kamako runway 12. He elected to make a go-around and increased engine power but unfortunately, low level windshear caused the aircraft to lose height and to struck the ground as its speed was insufficient. In consequence, the increase power was too low to allow the pilot to maintain the approach profile. The torsion of the blades confirmed that the engine was at full power for a go-around manoeuvre at impact. The absence of a windsock at Kamako Airfield was considered as a contributing factor. "
"Sep 9, 2013",Dornier DO228,"Viña del Mar, Región de Valparaíso",2,CC-CNW,http://www.baaa-acro.com/crash/crash-dornier-do228-202k-vina-del-mar-2-killed,Landing (descent or approach),"Crew was performing a positioning flight to Viña del Mar to pick up passengers to Los Perlambres mines. On approach in poor weather conditions due to fog, aircraft was too low and hit power lines. It stalled and crashed in an open field and was destroyed by impact forces. Both crew were killed. ",Positioning,Airport (less than 10 km from airport),
"Sep 8, 2013",Piper PA-31-350 Navajo Chieftain,"Doylestown, Pennsylvania",0,N57JK,http://www.baaa-acro.com/crash/crash-piper-pa-31p-navajo-doylestown,Landing (descent or approach),"Aircraft was substantially damaged following a runway excursion during landing at Doylestown, Pennsylvania (DYL). The commercial pilot was not injured. The flight was conducted under the provisions of 14 Code of Federal Regulations Part 91 as a personal flight. Visual meteorological conditions prevailed and noflight plan was filed for the flight. The pilot reported that, following a normal landing on runway 5, the left brake pedal went to the floor and there was no braking action on the left side. He tried pumping the brakes to regain left braking action, but was unsuccessful. The airplane departed the right side of the runway, into the grass. The landing gear collapsed and the airplane came to a stop. An inspector with the Federal Aviation Administration responded to the accident site and inspected the airplane. He confirmed substantial damage to the left wing spar. The left brake was not operational when he inspected the airplane. Further examination of the wheel brake system revealed a leak at the shaft for the parking brake valve. He reported that this condition allowed air to enter the brake system in between the master cylinder and wheel cylinder when the aircraft was pressurized.",Private,Airport (less than 10 km from airport),
"Sep 4, 2013",Cessna 207 Skywagon/Stationair,"Colorado Springs, Colorado",0,N211AS,http://www.baaa-acro.com/crash/crash-cessna-207-colorado-springs,Takeoff (climb),"Shortly after take off from Colorado Springs Airport, pilot encountered technical problems and elected to make an emergency landing in an open field. Both occupants were injured while the aircraft was considered as damaged beyond repair. 
Aircraft was owned by Aerial Resources LLC. ",Private,Airport (less than 10 km from airport),
"Sep 4, 2013",Cessna 303 Crusader,"Jersey, Channel Islands",2,N289CW,http://www.baaa-acro.com/crash/crash-cessna-t303-crusader-jersey-2-killed,Landing (descent or approach),"The twin engine aircraft, owned by the British businessman Carl Whiteley, took off from Dinan (Côtes-d'Armor) for Jersey, UK. While approaching Jersey, pilot encountered poor visibility due to fog. On approach, aircraft crashed into the Bay of Saint-Ouen, some 8 km west of Jersey. Search and rescue found some debris few hours later and it was confirmed that both occupants (Carl Whiteley and his wife) were killed. ",Private,"Lake, Sea, Ocean, River",
"Aug 27, 2013",Cessna 421C Golden Eagle III,"Paris, Illinois",1,N229H,http://www.baaa-acro.com/crash/crash-cessna-421c-golden-eagle-iii-paris-1-killed,Takeoff (climb),"Aircraft impacted wooded terrain shortly after takeoff from the Edgar County Airport (PRG), Paris, Illinois. The airline transport pilot, who was the sole occupant, sustained fatal injuries. The airplane was destroyed by impact and post-impact fire. The airplane was registered to Venezia Marine, Inc., Terre Haute, Indiana, and operated by RSB Aviation, Inc, Paris, Illinois, under the provisions of 14 Code of Federal Regulations Part 91 as a positioning flight. Visual meteorological conditions prevailed for the flight, and a flight plan was not filed. The flight was originating at the time of the accident and was en route to the Terre Haute International Airport - Hulman Field (HUF), Terre Haute, Indiana. Prior to the flight, the pilot fueled the airplane with 178 gallons of fuel, which according to a company pilot, would have topped off the fuel tanks. The pilot intended to depart PRG, pick up an individual at HUF, and then continue the flight to Cincinnati, Ohio. Witnesses observed the airplane during its takeoff roll from runway 09. They stated the airplane seemed to be very slow in comparison to other takeoff rolls they have observed with the accident airplane. Due to corn and other obstacles on airport property, the witnesses did not observe the airplane takeoff; however, shortly thereafter, they noticed a smoke plume about 1 mile east of the airport. The accident site was located approximately 3/4 of a mile from the departure end of runway 09 (4,502 feet long by 75 feet wide). The airplane wreckage was distributed on a heading of 090 for approximately 300 feet. The airplane impacted numerous trees prior to coming to rest at the base of a large tree. A post-impact fire and 2 post-impact explosions ensued. Several separated sections of the left wing, left horizontal stabilizer, and left elevator were located near the initial tree impacts. The main wreckage consisted of the fuselage, right wing, a portion of the left wing, both engines, and portions of the empennage. The left engine propeller was found in the feathered position, and right engine propeller was found in an operating range position. Visual examination and aerial photographs of the departure end of runway 09 and adjacent terrain showed the airplane's main landing gear exit the end of the runway surface, travel approximately 300 feet through grass, continue to travel approximately 300 feet through 3-foot-tall soybeans, and then impact the top of 10-foot-tall corn stalks for approximately 50 feet. Following the damaged corn stalks, there was no evidence of the airplane impacting terrain prior to the initial tree impacts. The airplane was equipped with two Lycoming LTP 101-600A-1A turboprop engines. The Lycoming engines were originally installed on the airplane per a Supplemental Type Certificate in 1982. According to RSB Aviation company personnel, during the previous several weeks before the accident, the left engine had been experiencing a delay/lag in obtaining 100 percent power after engine start-up. After a period of time, typically about 30 seconds, the left engine would obtain 100 percent power. After the engine obtained 100 percent power, the engine would maintain the power unless the pilot commanded otherwise. The delay/lag would not occur at each engine start-up, but at intermittent times. The airplane was flown by RBS Aviation with the known delay/lag condition. According to maintenance personnel and another company pilot, the known problem with the left engine had not been corrected prior to the accident flight.",Private,Airport (less than 10 km from airport),
"Aug 25, 2013",Antonov AN-26,"Guriceel, Galgaduud (جلجدود‎)",0,EK-26818,http://www.baaa-acro.com/crash/crash-antonov-26b-100-guriel,Landing (descent or approach),"Aircraft was performing a special flight from Mogadishu with a crew of five and 45 passengers on board, among them Hussein Ali Wehliye, the new governor for the Galguduud province. Following an uneventful flight, aircraft landed long and could not be stopped on the remaining runway. It overrun and hit a rock which caused the nose gear to collapse. The gear penetrated the fuselage and a crew member was injured. While all 49 other occupants were uninjured, aircraft was damaged beyond repair. According to unconfirmed report, crew adopted a wrong approach configuration and landed long, reducing the landing distance available. In such situation, aircraft could not be brought to a safe halt. Due to the fact that the landing procedure was incorrect, crew should attempt a go around.  ",Government,Airport (less than 10 km from airport),
"Aug 22, 2013",Beechcraft 200 Super King Air,"Lake Manyara, Manyara",0,5H-TZW,http://www.baaa-acro.com/crash/crash-beechcraft-super-king-air-200c-lake-manyara,Flight,"En route to Zanzibar, while cruising at an altitude of 21,000 feet, right engine failed. Pilot decided to divert to Arusha Airport but on descent, while passing 16,000 feet, left engine failed as well. Pilot eventually elected to make an emergency landing in Lake Manyara. Aircraft landed in shallow water and came to rest, bent in two. While all seven occupants were rescued by fishermen, aircraft was damaged beyond repair. ",Charter (Non Scheduled Revenue Flight),"Lake, Sea, Ocean, River",
"Aug 22, 2013",De Havilland DHC-3 Otter,"Ivanhoe Lake, Northwest Territories",1,C-FSGD,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-3-otter-ivanhoe-lake-1-killed,Flight,"Pilot was performing a positionning flight from Scott Lake Lodge, Saskatchewan, to Ivanhoe Lake. En route, aircraft crashed in unknown circumstances 13 km south of Ivanhoe Lake. SAR arrived on scene some 48 hours later. Aircraft was destroyed and pilot was killed. ",Positioning,Plain,
"Aug 19, 2013",Douglas DC-3,"Yellowknife, Northwest Territories",0,C-GWIR,http://www.baaa-acro.com/crash/crash-douglas-dc-3c-yellowknife,Landing (descent or approach),"Shortly after takeoff from runway 16, while climbing to a height of 800 feet, right engine fired. Crew elected to return and obtained permission to land on runway 10. He made a right turn and on final approach, while performing a last turn to the right at low altitude, aircraft hit tree tops and missed power cables. Aircraft eventually came down 100 meters short of runway 10 on its belly and came to rest into a ditch. All 24 occupants were uninjured while the aircraft was damaged beyond repair. ",Scheduled Revenue Flight,Airport (less than 10 km from airport),
"Aug 16, 2013",PZL-Mielec AN-2,"Vilyuisk, Republic of Yakutia (Sakha)",0,RA-01419,http://www.baaa-acro.com/crash/crash-pzl-mielec-2tp-vilyuisk,NA,"On a flight from Vilyuisk to Kyubeinde-Ugulet when the engine overheated and lost power while the aircraft climbed through 400 metres. Pilot decided to return to Vilyuisk but the engine failed. He eventually made a forced landing on a swampy terrain located 26 km northwest of Vilyuisk (at N63°54.584"" E121°18.048""). The main wheels got stuck in the soft ground, the engine was ripped off, the aircraft caught fire and burnt out. Both pilots and all 9 passengers escaped unhurt.",Scheduled Revenue Flight,Plain,Engine failure.
"Aug 16, 2013",De Havilland DHC-2 Beaver,"Hesquiat Lake, British Columbia",2,C-GPVB,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-2-beaver-i-hesquiat-lake-2-killed,Takeoff (climb),"Single engine aircraft was performing a charter flight from Hesquiat Lake to Gold River. Shortly after take off, in unknown circumstances, it crashed in a wooded area located 85 km NW of Tofino and was destroyed by impact forces and post impact fire. Two passengers were killed as all four other occupants were injured. ",Charter (Non Scheduled Revenue Flight),Plain,
"Aug 14, 2013",Airbus A300-600,"Birmingham, Alabama",2,N155UP,http://www.baaa-acro.com/crash/crash-airbus-a300-622r-birmingham-2-killed,Landing (descent or approach),"Crew was approaching Birmingham-Shuttlesworth runway 18 at night in good weather conditions. Due to maintenance work, the principal runway at Birmingham Airport was closed to traffic. On descent, 16 seconds prior to impact, EGPWS alarm sounded in the cockpit, informing crew about a too low altitude. Six seconds later, copilot informed captain he has the runway in sight and four seconds later, at a speed of 140 knots with the automatic pilot ON, aircraft hit tree tops and electrical cables. On ground, he bounced three times and eventually crashed in an open field located less than one km from runway threshold. Aircraft was destroyed by impact forces and postcrash fire. Both pilots were killed. At the time of the accident, it was dark and weather conditions were as follow : visibility more than 16 km, light wind from 340 at 4 knots, few clouds at 1,100 feet, scattered at 3,500 feet. ",Cargo,Airport (less than 10 km from airport),"The NTSB determined that the probable causes of the crash were:
The crew continued an unstabilized approach into Birmingham Airport, 
the crew failed to monitor the altitude and inadvertently descended below the minimum descent altitude when the runway was not yet in sight.
Contributing factors were: 
the flight crew's failure to properly configure the on-board flight management computer,
the first officer's failure to make required call-outs,
the captain's decision to change the approach strategy without communicating his change to the first officer,
flight crew fatigue."
"Aug 12, 2013",De Havilland DH.60 Moth,"Canons Ashby, Northamptonshire",0,G-AAZG,http://www.baaa-acro.com/crash/crash-de-havilland-dh60g-moth-canons-ashby,Flight,"The pilot was carrying out a local flight with a friend. The weather was good (CAVOK), with a westerly wind of about 12 to 15 kt. The passenger occupied the front cockpit and the pilot the rear. The engine started normally and the aircraft departed, climbing to an altitude of 1,200 ft. The pilot carried out two medium banked turns and a gentle wingover manoeuvre before entering another steep turn to the left. When established in the turn, the engine stopped and the aircraft entered a spin to the left. The pilot recovered from the spin but, due to the limited height available, could only pull out of the dive and carry out a forced landing in an isolated grass area, amongst trees and other obstacles. In doing so, the aircraft struck a ridge and furrow, which destroyed the landing gear and much of the forward fuselage. A member of the public witnessed the accident and called the emergency services, who recovered both occupants from the wreckage. The pilot and his passenger had suffered serious injuries and were transferred to hospital. There was no fire.The aircraft had recently been re-weighed. During that process, the fuel tank had been drained and the same fuel was then used to refill the tank. After that, the aircraft had flown some five hours, during which it had been refuelled twice at a licensed aerodrome. The second refuel had taken place prior to positioning the aircraft back to the private site from which the accident flight departed. It was reported that the engine had been consistently reliable. No reason for the engine failure was identified. The pilot considered that he had avoided a serious head injury because he was wearing a protective helmet. Also, he commented that he had since had discussions with others in the historic aircraft community regarding energy absorbing foam in seat pans and its potential for reducing the level of back injuries in the event of an accident.",Private,Plain,Engine failure for undetermined reason. 
"Aug 9, 2013",Antonov AN-12,"Leipzig, Saxony",0,UR-CAG,http://www.baaa-acro.com/crash/crash-antonov-12bp-leipzig,Parking,"Parked at Leipzig-Halle Airport, aircraft was preparing for a cargo flight to Mineralnye Vody, carrying a crew of seven and a cargo consisting of 48,960 live chicken, representing a total weight of 3,061 kilos. Crew obtained permission to start the APU and engines. Engine one was started, followed by the number four when a ""bang"" occurred by the APU and a fire broke out. Crew was able to leave the aircraft before it was completely destroyed by fire. Unfortunately, all chicken were killed.  ",Cargo,Airport (less than 10 km from airport),
"Aug 9, 2013",Antonov AN-12,"Mogadishu, Banaadir (بنادر‎)",4,1513,http://www.baaa-acro.com/crash/crash-antonov-12-mogadishu-4-killed,Landing (descent or approach),"Ethiopian Air Force AN-12 was performing a special cargo flight from Dire Dawa to Mogadishu with a crew of six and a cargo of ammunition on behalf of AMISOM, the African Union Mission in Somalia. After landing, aircraft skidded on runway, overrun and crashed in flames near a perimeter wall. Aircraft was destroyed by impact forces and post impact fire fed by ammunition which caused multiple explosions. Four crew were killed while two others were seriously injured. Control was lost after landing, maybe following a tyre burst. ",Cargo,Airport (less than 10 km from airport),
"Aug 9, 2013",Rockwell Grand Commander 690,"New Haven, Connecticut",4,N13622,http://www.baaa-acro.com/crash/crash-rockwell-690b-turbo-commander-new-haven-4-killed,Landing (descent or approach),"Aircraft was destroyed after impacting two homes while maneuvering for landing in East Haven, Connecticut. The airplane was registered to Ellumax, LLC, and was operated by a private individual. The commercial pilot, one passenger, and two people on the ground were fatally injured. The personal flight was conducted under the provisions of 14 Code of Federal Regulations Part 91. Instrument meteorological conditions prevailed and an instrument flight rules (IFR) flight plan was filed for the flight that departed Teterboro Airport (TEB), Teterboro, New Jersey, about 1049 and was destined for Tweed-New Haven Airport (HVN), New Haven, Connecticut. Review of preliminary data from the Federal Aviation Administration revealed that at 1115:10, the flight was cleared for the instrument landing system (ILS) approach to runway 2, circle to land runway 20 at HVN by New York Approach Control (N90). At 1115:43 the pilot contacted HVN tower and reported 7 and one half miles from SALLT intersection. The HVN local controller instructed the pilot to enter a left downwind for runway 20. At 1119:26 the pilot reported to HVN air traffic control (ATC) that he was entering a left downwind for runway 20. HVN ATC cleared the pilot to land on runway 20. While circling to runway 20, the HVN tower controller asked the pilot if he would be able to maintain visual contact with the airport. The pilot replied ""622 is in visual contact now"". At 1120:55 the HVN air traffic controller made a truncated transmission with the call sign “622”. No further communications were received from the accident airplane. The last recorded radar target was at 1120:53, about .7 miles north of the runway 20 threshold indicating an altitude of 800 feet mean seal level. According to a student pilot witness, who was traveling on interstate 95 (I-95) at exit 51; he looked to his right while traveling east bound and saw the airplane at the end of a right roll. The airplane was inverted and traveling at a high rate of speed, nose first, towards the ground in the vicinity of where HVN was located. He stated that he stopped at a local business and found out that the airplane had crashed. According to another witness, who lives two houses from the impact point of the airplane, he was in his living room when he saw the airplane descending about 90 degrees right side down into the homes. The airplane was located inverted, with the forward half of the airplane inside the basement of the primary home on a heading of 192 degrees magnetic. The cockpit, left engine and forward two-thirds of the fuselage were located inside the basement. The left wing was located on the back porch of the primary home. The right wing impacted a secondary adjacent house on the north side of the primary home. The right engine and propeller impacted the ground in between both homes. A postaccident fire ensued and consumed a majority of the wreckage. The recorded weather at HVN, at 1126, included wind from 170 degrees at 12 knots, gusting to 19 knots, visibility 9 miles, and overcast ceiling at 900 feet.",Private,Airport (less than 10 km from airport),
"Aug 8, 2013",Socata TBM-850,"Clermont-Ferrand-Aulnat, Puy-de-Dôme",3,N850GC,http://www.baaa-acro.com/crash/crash-socata-tbm-850-clermont-ferrand-3-killed,Landing (descent or approach),"On final approach to Clermont-Ferrand-Auvergne Airport in poor weather conditions, aircraft went out of control and crashed in an open field located six km short of runway. Single engine aircraft disintegrated on impact and all three occupants aged respectively 70, 73 and 76 years old were killed. They were completing an intermediate stop at Clermont-Ferrand to pick up two additional passengers before continuing to Biarritz. Accident occurred near a road linking Vertaizon to Pont-du-Château. ",Private,Airport (less than 10 km from airport),
"Aug 6, 2013",Shijiazhuang Yunsunji Y-5,"Danfeng, Shaanxi",1,B-8473,http://www.baaa-acro.com/crash/crash-shijiazhuang-yunsunji-y-5-danfeng-1-killed,Flight,"Crew was engaged in an agricultural spraying mission. While cruising at low altitude, aircraft hit tree tops, stalled and crashed in a wooded area. While the captain was seriously injured, the copilot was killed. ",Spraying (Agricultural),Plain,
"Aug 5, 2013",Beechcraft 200 Super King Air,"Akureyri, Northeastern Region (Norðurland eystra)",2,TF-MYX,http://www.baaa-acro.com/crash/crash-beechcraft-super-king-air-b200-akureyri-2-killed,Landing (descent or approach),"Crew was returning to its base following an ambulance flight from Reykjavik. On final approach, pilots were instructed by ATC to make a go around and to follow a holding circuit in the west of the airport due to a Fokker ready to depart. Few minutes later, while attempting a second approach, crew completed a left turn to align with runway when it stalled. Left wing hit the ground and the aircraft crashed in flames in a field located 4.4 km northwest of the airport. All three occupants were seriously injured and evacuated to a local hospital. Few hours later, a pilot and the doctor died from their injuries. ",Ambulance,Airport (less than 10 km from airport),
